PolicyID,ProductID,PlanID,Sex,IssueDate,IssueAge,PolicyTerm,PolicyCount,SumAssured
30,TERM_1,PLAN_B,F,30,10/12/2022,20,43,807117.7016
31,TERM_1,PLAN_A,F,39,02/11/2020,10,49,553044.591
32,TERM_2,PLAN_A,F,38,25/03/2016,20,39,992889.9561
33,TERM_1,PLAN_A,F,34,18/03/2023,20,43,970966.6898
34,TERM_2,PLAN_A,F,58,29/04/2016,20,61,907860.4775
35,TERM_1,PLAN_B,F,25,28/06/2012,15,4,178194.5878
36,TERM_1,PLAN_A,F,43,01/09/2021,10,79,229257.3921
37,TERM_1,PLAN_A,F,21,29/03/2023,20,20,52166.78447
38,TERM_2,PLAN_B,F,42,07/07/2024,10,48,160967.738
39,TERM_2,PLAN_A,F,35,07/09/2011,15,63,680709.1132
40,TERM_1,PLAN_A,M,32,31/12/2013,20,98,575287.6375
41,TERM_2,PLAN_A,M,28,13/04/2010,20,0,700708.605
42,TERM_1,PLAN_B,M,26,18/09/2016,10,94,435441.1607
43,TERM_1,PLAN_A,F,56,01/04/2013,10,73,859417.2655
44,TERM_1,PLAN_B,F,42,14/07/2016,20,25,749152.7674
45,TERM_2,PLAN_A,F,41,08/10/2019,15,66,965047.2924
46,TERM_1,PLAN_B,F,59,03/07/2021,10,93,449692.9302
47,TERM_1,PLAN_B,F,25,25/10/2021,10,4,518056.4693
48,TERM_1,PLAN_B,F,21,27/04/2014,15,98,317182.558
49,TERM_1,PLAN_A,F,44,16/06/2013,10,59,296280.958
50,TERM_1,PLAN_A,F,23,28/12/2024,10,21,46811.93829
51,TERM_2,PLAN_A,F,41,22/02/2013,10,21,722606.2098
52,TERM_2,PLAN_B,F,42,28/04/2015,15,64,586693.1083
53,TERM_1,PLAN_A,M,40,18/09/2013,15,56,367230.0579
54,TERM_1,PLAN_A,F,39,06/01/2016,15,12,681934.9342
55,TERM_1,PLAN_B,M,22,10/03/2024,10,1,745183.2752
56,TERM_1,PLAN_B,M,22,16/11/2022,10,86,281470.1406
57,TERM_1,PLAN_A,F,47,27/07/2020,15,29,147059.801
58,TERM_1,PLAN_B,M,35,11/11/2022,20,80,229209.6291
59,TERM_1,PLAN_A,F,37,26/12/2011,15,25,104259.0773
60,TERM_2,PLAN_B,M,20,14/08/2017,10,12,968009.3963
61,TERM_2,PLAN_B,F,33,28/08/2023,20,4,491206.856
62,TERM_2,PLAN_A,F,52,20/04/2022,15,69,469020.3738
63,TERM_2,PLAN_B,M,53,02/04/2012,10,4,916754.5939
64,TERM_2,PLAN_B,F,38,04/10/2015,15,96,588652.1324
65,TERM_1,PLAN_B,F,24,21/07/2017,15,16,83826.40538
66,TERM_2,PLAN_A,F,54,06/03/2019,10,12,765901.592
67,TERM_2,PLAN_B,F,29,12/12/2020,10,62,342215.7929
68,TERM_2,PLAN_B,M,51,17/09/2024,20,52,387671.479
69,TERM_2,PLAN_B,F,32,16/05/2018,20,28,394871.64
70,TERM_2,PLAN_A,F,46,04/09/2021,10,55,844546.7873
71,TERM_2,PLAN_B,M,53,15/04/2019,10,92,646509.8933
72,TERM_2,PLAN_A,M,44,19/01/2015,15,88,216554.658
73,TERM_2,PLAN_A,F,28,30/11/2010,15,6,124603.3427
74,TERM_2,PLAN_B,F,43,16/05/2015,15,17,927200.7399
75,TERM_1,PLAN_A,M,35,16/10/2022,20,50,686978.0892
76,TERM_2,PLAN_A,F,55,16/06/2023,15,94,543450.4735
77,TERM_2,PLAN_B,F,53,13/06/2019,10,29,92709.85092
78,TERM_1,PLAN_B,F,46,30/06/2016,20,67,548204.7287
79,TERM_1,PLAN_A,M,32,13/04/2019,10,52,107760.6112
80,TERM_1,PLAN_B,F,54,09/01/2019,20,69,38443.79977
81,TERM_2,PLAN_B,M,45,30/12/2013,20,21,973789.3454
82,TERM_1,PLAN_A,M,48,06/03/2016,15,80,864156.337
83,TERM_2,PLAN_B,F,58,30/10/2023,15,80,85420.44809
84,TERM_2,PLAN_A,F,58,19/01/2011,15,22,678556.5657
85,TERM_2,PLAN_A,M,41,04/07/2014,15,88,157110.6473
86,TERM_1,PLAN_B,F,42,02/12/2019,15,13,103429.3213
87,TERM_2,PLAN_A,F,28,19/05/2015,10,15,342842.3133
88,TERM_2,PLAN_A,M,48,15/04/2015,15,19,130641.6316
89,TERM_1,PLAN_A,M,52,31/07/2019,10,18,175269.3726
90,TERM_1,PLAN_A,F,40,27/07/2015,10,35,779554.9603
91,TERM_1,PLAN_A,M,50,23/10/2020,10,46,688198.8264
92,TERM_1,PLAN_A,M,58,01/07/2010,20,66,258001.7613
93,TERM_2,PLAN_A,F,41,29/09/2016,10,93,691391.0472
94,TERM_1,PLAN_B,M,50,20/07/2011,15,29,693885.0283
95,TERM_2,PLAN_A,M,20,29/07/2012,15,99,917738.9464
96,TERM_1,PLAN_A,M,43,17/01/2013,15,71,990591.1293
97,TERM_1,PLAN_A,M,22,19/06/2022,20,14,274911.2
98,TERM_1,PLAN_B,F,24,09/09/2014,20,95,232784.5156
99,TERM_1,PLAN_A,F,54,01/10/2020,15,6,757648.2876
100,TERM_2,PLAN_A,M,43,10/01/2017,20,88,768005.1449
101,TERM_1,PLAN_A,F,21,01/01/2016,15,2,354863.3447
102,TERM_1,PLAN_A,F,39,17/06/2013,15,79,451681.0474
103,TERM_2,PLAN_A,F,44,04/04/2024,20,94,184674.8857
104,TERM_1,PLAN_B,M,26,24/12/2016,10,64,979396.1663
105,TERM_2,PLAN_B,F,34,25/01/2021,15,96,553987.269
106,TERM_2,PLAN_A,M,55,18/12/2018,20,22,358345.3977
107,TERM_1,PLAN_B,M,44,21/01/2019,15,62,586264.3729
108,TERM_1,PLAN_B,M,32,10/06/2012,10,39,723707.4437
109,TERM_1,PLAN_A,M,35,19/03/2010,20,34,313340.7587
110,TERM_1,PLAN_B,F,35,23/10/2010,10,99,327477.345
111,TERM_2,PLAN_A,F,20,01/10/2019,20,31,618141.495
112,TERM_1,PLAN_B,F,26,09/12/2024,10,48,557377.3653
113,TERM_2,PLAN_B,M,48,17/12/2024,20,97,823713.3052
114,TERM_1,PLAN_B,F,44,22/01/2012,10,14,263569.508
115,TERM_2,PLAN_A,F,41,17/12/2020,15,81,953315.0918
116,TERM_1,PLAN_A,M,29,19/02/2021,15,76,188245.6427
117,TERM_2,PLAN_A,F,47,15/10/2023,10,46,76592.55715
118,TERM_1,PLAN_B,F,30,14/02/2022,15,67,924265.4346
119,TERM_1,PLAN_B,F,27,14/07/2014,10,78,921846.5141
120,TERM_1,PLAN_B,M,41,06/09/2023,15,74,360559.6487
121,TERM_2,PLAN_B,F,53,15/09/2010,10,49,151022.8488
122,TERM_1,PLAN_B,F,20,10/06/2021,20,1,306672.8012
123,TERM_1,PLAN_A,M,57,03/11/2020,10,51,980705.6829
124,TERM_1,PLAN_A,F,49,01/10/2010,15,90,246124.0058
125,TERM_2,PLAN_B,F,34,31/08/2020,10,93,918124.4564
126,TERM_1,PLAN_B,F,53,28/10/2018,15,55,178163.6477
127,TERM_2,PLAN_B,F,58,28/05/2010,20,42,395559.5087
128,TERM_1,PLAN_A,F,35,31/10/2020,20,20,410019.3262
129,TERM_2,PLAN_B,M,24,05/07/2015,20,39,907225.0923
130,TERM_1,PLAN_B,F,32,27/02/2013,10,5,102935.1812
131,TERM_2,PLAN_A,M,34,28/10/2016,15,90,895890.5492
132,TERM_1,PLAN_B,F,32,05/09/2017,15,41,806479.1541
133,TERM_2,PLAN_A,M,59,12/03/2013,20,34,948520.0408
134,TERM_1,PLAN_A,F,50,27/08/2015,15,57,758935.1185
135,TERM_2,PLAN_B,M,50,29/05/2013,15,79,709409.9603
136,TERM_1,PLAN_B,M,27,06/09/2018,10,67,834979.8908
137,TERM_2,PLAN_A,M,40,20/01/2012,15,20,269472.4231
138,TERM_2,PLAN_B,M,44,23/11/2016,20,78,479411.1185
139,TERM_1,PLAN_A,M,23,27/12/2012,10,54,502768.1978
140,TERM_1,PLAN_B,M,25,20/02/2020,20,46,422922.549
141,TERM_1,PLAN_A,F,41,11/08/2024,10,2,355018.4427
142,TERM_2,PLAN_A,F,32,23/12/2020,15,69,588514.5626
143,TERM_2,PLAN_B,M,28,07/09/2018,10,73,742243.2211
144,TERM_1,PLAN_A,M,56,11/11/2011,15,48,478656.21
145,TERM_1,PLAN_B,M,21,26/10/2012,20,17,668932.0383
146,TERM_2,PLAN_A,F,35,23/09/2013,10,2,488889.1038
147,TERM_1,PLAN_A,M,58,17/12/2017,10,66,507486.5425
148,TERM_2,PLAN_A,M,46,22/09/2017,20,41,833890.968
149,TERM_2,PLAN_A,F,27,13/09/2012,15,50,463186.2394
150,TERM_1,PLAN_B,F,56,23/05/2022,20,61,180462.9707
151,TERM_2,PLAN_B,F,35,30/03/2023,20,38,506266.7951
152,TERM_2,PLAN_A,F,57,30/06/2024,10,13,471467.7103
153,TERM_1,PLAN_A,M,57,06/11/2019,15,9,666190.1533
154,TERM_1,PLAN_B,M,46,23/07/2021,10,72,84043.25198
155,TERM_1,PLAN_A,F,43,11/11/2014,20,44,314667.4018
156,TERM_1,PLAN_A,F,33,17/04/2014,15,97,243867.0282
157,TERM_1,PLAN_A,F,33,13/06/2010,10,15,59279.33576
158,TERM_2,PLAN_A,M,42,05/12/2020,10,88,416907.0034
159,TERM_2,PLAN_B,M,31,17/02/2020,15,21,436091.2108
160,TERM_2,PLAN_A,M,20,12/11/2012,20,58,901900.8322
161,TERM_1,PLAN_A,F,40,19/04/2018,15,28,576410.5482
162,TERM_2,PLAN_B,M,25,01/11/2024,10,32,801821.0713
163,TERM_1,PLAN_B,M,40,31/05/2015,20,16,112094.331
164,TERM_1,PLAN_B,F,21,04/02/2016,20,92,762958.0521
165,TERM_2,PLAN_B,M,40,22/02/2012,10,36,257663.8326
166,TERM_1,PLAN_A,M,35,11/09/2022,20,96,783915.4304
167,TERM_2,PLAN_B,M,50,09/10/2017,10,74,148381.4767
168,TERM_2,PLAN_A,F,26,25/02/2017,20,10,100518.8277
169,TERM_2,PLAN_A,M,20,09/05/2018,20,86,849960.0526
170,TERM_1,PLAN_A,F,54,28/12/2013,10,31,491837.2373
171,TERM_2,PLAN_B,F,21,20/08/2013,15,82,437867.9486
172,TERM_2,PLAN_B,M,47,05/11/2010,15,70,274282.1447
173,TERM_2,PLAN_A,M,28,28/06/2024,20,25,559556.2882
174,TERM_1,PLAN_A,F,30,24/04/2015,10,28,516106.5978
175,TERM_1,PLAN_A,F,27,29/12/2019,10,46,184654.0532
176,TERM_2,PLAN_B,F,58,12/02/2013,15,0,758974.1406
177,TERM_2,PLAN_A,F,34,30/05/2012,20,79,877903.8896
178,TERM_1,PLAN_A,M,24,23/04/2013,10,7,342050.9411
179,TERM_2,PLAN_B,M,29,29/03/2010,20,61,578229.1921
180,TERM_1,PLAN_A,M,33,19/01/2018,10,39,698384.6854
181,TERM_1,PLAN_A,M,55,20/04/2017,20,84,759008.0193
182,TERM_1,PLAN_A,M,28,13/11/2022,10,70,105968.5386
183,TERM_1,PLAN_A,M,43,16/09/2019,15,15,679947.3771
184,TERM_1,PLAN_A,F,45,09/09/2015,15,88,404230.0775
185,TERM_2,PLAN_A,M,51,31/10/2019,15,89,954418.1898
186,TERM_2,PLAN_A,F,33,12/12/2022,10,65,906251.5992
187,TERM_2,PLAN_B,M,39,30/12/2015,10,10,215439.0938
188,TERM_2,PLAN_B,F,22,08/03/2021,15,55,83309.92881
189,TERM_2,PLAN_B,F,49,22/03/2010,15,25,570489.049
190,TERM_1,PLAN_A,M,40,26/10/2016,10,35,50909.40114
191,TERM_2,PLAN_A,M,42,28/08/2014,20,69,622025.5299
192,TERM_1,PLAN_A,F,22,11/11/2024,10,88,881620.6556
193,TERM_1,PLAN_B,F,49,05/09/2024,15,0,703182.2793
194,TERM_1,PLAN_B,F,42,22/11/2015,20,18,195626.8501
195,TERM_2,PLAN_A,F,47,22/01/2010,20,14,889887.1106
196,TERM_2,PLAN_A,M,32,28/02/2017,10,57,943815.9126
197,TERM_1,PLAN_A,F,54,11/08/2013,15,100,141205.1602
198,TERM_1,PLAN_B,M,47,01/12/2023,15,78,878420.5746
199,TERM_1,PLAN_A,F,30,13/12/2016,15,73,796672.9185
200,TERM_1,PLAN_A,F,23,25/04/2012,20,83,12616.19224
201,TERM_1,PLAN_A,F,20,10/08/2014,15,36,378680.0369
202,TERM_1,PLAN_A,M,26,21/04/2023,15,28,379622.8503
203,TERM_1,PLAN_A,M,41,27/02/2013,10,18,581870.9958
204,TERM_1,PLAN_B,M,23,26/01/2014,15,15,870992.2198
205,TERM_2,PLAN_B,F,57,31/08/2019,15,88,734412.2748
206,TERM_2,PLAN_B,F,54,09/07/2019,10,53,69798.55695
207,TERM_1,PLAN_B,F,33,10/06/2014,10,9,743452.7577
208,TERM_1,PLAN_B,M,25,15/10/2013,20,8,143055.1538
209,TERM_1,PLAN_B,F,29,23/09/2011,10,38,372021.1184
210,TERM_2,PLAN_A,M,43,05/10/2015,20,100,510865.1988
211,TERM_2,PLAN_B,M,23,17/02/2024,10,85,211930.183
212,TERM_1,PLAN_B,F,26,10/08/2019,10,17,300609.0637
213,TERM_1,PLAN_A,F,50,12/03/2022,15,87,752561.1028
214,TERM_2,PLAN_A,M,31,16/04/2010,15,6,716114.1514
215,TERM_1,PLAN_A,M,35,29/10/2023,10,66,707105.5899
216,TERM_1,PLAN_A,F,52,13/01/2010,20,28,235909.6013
217,TERM_1,PLAN_A,M,38,23/05/2015,20,66,46580.58812
218,TERM_1,PLAN_A,F,27,10/05/2019,10,68,159971.4413
219,TERM_1,PLAN_A,M,47,09/08/2017,10,34,219729.1366
220,TERM_1,PLAN_A,F,46,25/12/2022,20,30,734525.1939
221,TERM_1,PLAN_A,M,44,03/02/2015,10,58,262581.5481
222,TERM_1,PLAN_A,F,34,26/12/2016,15,81,867801.3948
223,TERM_1,PLAN_B,F,23,11/08/2021,10,47,578510.9596
224,TERM_1,PLAN_B,F,29,03/06/2018,15,77,756679.304
225,TERM_1,PLAN_A,F,49,30/12/2012,10,17,206120.8047
226,TERM_2,PLAN_A,F,52,19/12/2022,10,12,742335.7733
227,TERM_2,PLAN_A,M,52,10/05/2012,15,23,480763.3281
228,TERM_2,PLAN_B,F,41,15/02/2024,15,97,784158.4627
229,TERM_1,PLAN_B,F,34,19/11/2012,10,21,183567.7844
230,TERM_1,PLAN_B,M,54,14/10/2017,10,22,794827.8616
231,TERM_2,PLAN_B,M,29,10/12/2015,15,99,55099.03356
232,TERM_2,PLAN_A,M,43,13/01/2023,10,20,871223.7311
233,TERM_2,PLAN_B,F,47,21/07/2019,10,82,889529.3562
234,TERM_1,PLAN_B,M,40,11/11/2022,20,52,274219.8654
235,TERM_2,PLAN_B,F,26,04/09/2012,20,41,747538.1022
236,TERM_2,PLAN_A,M,42,16/03/2019,15,49,250480.3204
237,TERM_1,PLAN_A,F,28,19/07/2012,20,42,832377.2841
238,TERM_2,PLAN_A,F,28,08/02/2016,15,77,356301.2062
239,TERM_2,PLAN_B,F,27,16/12/2015,10,84,28448.6776
240,TERM_1,PLAN_A,M,41,24/12/2024,15,87,775766.3595
241,TERM_2,PLAN_A,F,48,28/06/2015,15,19,900594.9313
242,TERM_1,PLAN_A,M,50,15/05/2014,10,5,710612.5224
243,TERM_2,PLAN_A,F,56,15/08/2020,15,58,459107.0495
244,TERM_1,PLAN_B,F,48,12/01/2022,15,67,565004.1559
245,TERM_2,PLAN_B,F,27,11/09/2010,20,63,198701.9853
246,TERM_1,PLAN_B,F,46,20/10/2015,15,28,150328.687
247,TERM_2,PLAN_A,F,23,03/12/2017,20,14,162062.7046
248,TERM_2,PLAN_A,M,28,29/05/2022,10,6,136791.6901
249,TERM_1,PLAN_B,M,52,10/06/2012,10,10,681923.1968
250,TERM_1,PLAN_A,M,49,10/08/2020,15,36,774173.6326
251,TERM_2,PLAN_A,F,27,01/12/2015,20,76,922141.3052
252,TERM_1,PLAN_B,M,46,27/08/2010,10,32,875873.4148
253,TERM_1,PLAN_B,F,39,23/01/2013,15,57,604145.7068
254,TERM_2,PLAN_A,F,54,03/02/2023,10,93,991341.9845
255,TERM_1,PLAN_A,M,36,22/08/2024,15,100,637667.9932
256,TERM_1,PLAN_B,M,36,09/09/2010,15,18,863971.9245
257,TERM_1,PLAN_B,M,50,21/09/2017,10,52,676414.5179
258,TERM_1,PLAN_B,M,40,19/12/2010,10,76,242076.437
259,TERM_2,PLAN_A,F,30,08/06/2019,20,6,486500.8904
260,TERM_1,PLAN_A,F,28,13/03/2016,20,56,417462.8427
261,TERM_2,PLAN_A,F,48,27/11/2015,20,32,159377.6902
262,TERM_2,PLAN_B,F,35,22/03/2012,20,88,463574.5244
263,TERM_1,PLAN_A,M,57,15/04/2021,15,40,744927.0551
264,TERM_2,PLAN_B,M,54,24/06/2023,20,53,315587.0426
265,TERM_2,PLAN_B,M,40,21/10/2023,20,37,231455.5979
266,TERM_2,PLAN_B,F,55,13/12/2015,15,39,45764.2224
267,TERM_1,PLAN_B,M,49,29/09/2021,10,76,210827.5456
268,TERM_1,PLAN_A,F,40,23/02/2017,10,56,472508.6429
269,TERM_1,PLAN_A,M,40,21/11/2011,20,52,853760.4703
270,TERM_2,PLAN_A,F,50,07/10/2010,10,75,797370.7055
271,TERM_1,PLAN_A,F,25,11/06/2016,15,35,819021.9104
272,TERM_1,PLAN_B,M,47,13/06/2022,15,1,790405.0763
273,TERM_1,PLAN_A,F,48,30/11/2024,10,46,52958.9106
274,TERM_2,PLAN_A,F,41,19/09/2019,15,79,740752.2371
275,TERM_1,PLAN_B,F,28,25/12/2012,10,27,774545.3422
276,TERM_2,PLAN_A,M,28,10/02/2016,15,60,378437.373
277,TERM_1,PLAN_B,M,27,26/09/2010,20,37,645402.8431
278,TERM_2,PLAN_B,M,22,08/02/2016,10,33,238641.905
279,TERM_1,PLAN_B,M,32,03/07/2014,20,99,44732.44709
280,TERM_2,PLAN_B,M,51,06/07/2013,10,45,945210.2518
281,TERM_2,PLAN_B,M,56,01/02/2018,20,45,476877.4667
282,TERM_1,PLAN_A,F,58,17/09/2016,20,40,526781.1975
283,TERM_2,PLAN_B,F,58,11/02/2018,10,85,155466.2932
284,TERM_1,PLAN_B,F,26,13/08/2010,15,46,744698.0373
285,TERM_2,PLAN_A,M,22,05/05/2012,10,69,305781.7149
286,TERM_2,PLAN_B,F,34,06/05/2020,15,78,74702.25261
287,TERM_1,PLAN_A,M,21,24/09/2016,20,55,199774.9041
288,TERM_2,PLAN_A,M,45,31/12/2011,20,41,899877.9375
289,TERM_1,PLAN_B,F,29,11/07/2010,10,30,189295.7456
290,TERM_1,PLAN_A,F,50,05/02/2012,20,46,984933.2126
291,TERM_2,PLAN_B,M,33,20/06/2016,20,26,876486.7394
292,TERM_1,PLAN_B,F,43,12/04/2018,15,96,171632.8537
293,TERM_2,PLAN_A,M,23,18/07/2017,15,76,752146.4478
294,TERM_2,PLAN_B,M,23,04/10/2012,10,0,669155.2644
295,TERM_2,PLAN_A,M,38,04/11/2014,10,27,208041.3349
296,TERM_1,PLAN_A,M,22,13/07/2022,20,97,159696.3805
297,TERM_2,PLAN_A,F,46,01/06/2024,20,82,833885.0663
298,TERM_1,PLAN_B,M,32,29/08/2012,10,39,731286.2688
299,TERM_2,PLAN_B,M,59,24/09/2010,10,95,842285.7374
300,TERM_2,PLAN_A,M,35,31/10/2018,15,52,582369.128
301,TERM_2,PLAN_A,M,23,22/10/2020,15,55,229025.2064
302,TERM_2,PLAN_B,F,58,05/08/2012,10,37,293288.3016
303,TERM_1,PLAN_A,F,36,14/08/2024,15,67,723798.3931
304,TERM_2,PLAN_A,M,38,11/07/2012,10,50,40126.34919
305,TERM_2,PLAN_A,M,55,31/12/2012,20,93,564470.4325
306,TERM_1,PLAN_A,M,56,05/05/2018,15,2,901024.4748
307,TERM_2,PLAN_B,M,34,09/06/2010,10,14,183330.158
308,TERM_1,PLAN_A,F,57,19/09/2022,15,41,980747.7785
309,TERM_1,PLAN_B,F,25,15/11/2011,15,98,797812.4063
310,TERM_2,PLAN_B,F,27,11/12/2020,20,56,880246.0676
311,TERM_2,PLAN_A,F,29,07/05/2024,20,56,16080.62801
312,TERM_1,PLAN_B,M,48,01/12/2015,15,65,425073.7062
313,TERM_2,PLAN_B,M,26,23/01/2016,10,84,579818.9386
314,TERM_1,PLAN_B,M,32,18/06/2013,20,3,632898.738
315,TERM_1,PLAN_B,M,33,08/01/2024,10,89,260613.328
316,TERM_1,PLAN_A,F,23,15/01/2020,20,48,326239.4613
317,TERM_1,PLAN_B,F,41,18/03/2016,15,52,62418.86556
318,TERM_1,PLAN_A,M,34,07/09/2023,15,48,295950.7664
319,TERM_2,PLAN_A,M,48,26/04/2019,20,35,96354.63578
320,TERM_2,PLAN_B,F,22,28/08/2011,20,85,934443.3324
321,TERM_2,PLAN_A,M,46,13/09/2018,20,99,945087.9117
322,TERM_2,PLAN_A,F,50,20/08/2023,10,7,576022.5379
323,TERM_1,PLAN_B,M,36,26/03/2020,10,99,602523.4255
324,TERM_2,PLAN_A,F,28,03/11/2015,10,30,813328.4819
325,TERM_1,PLAN_A,F,29,20/04/2016,15,53,781857.9599
326,TERM_2,PLAN_A,F,29,24/10/2022,15,57,309516.7547
327,TERM_1,PLAN_B,F,53,25/09/2011,10,68,542647.1872
328,TERM_2,PLAN_A,F,50,21/09/2017,20,47,76866.18862
329,TERM_1,PLAN_B,M,21,19/04/2014,15,96,386971.6312
330,TERM_2,PLAN_A,F,51,05/12/2024,10,65,66581.56088
331,TERM_1,PLAN_B,M,53,10/08/2021,15,80,947098.8172
332,TERM_1,PLAN_B,M,35,19/09/2019,20,95,814807.8959
333,TERM_1,PLAN_A,M,35,16/10/2024,20,45,756765.1289
334,TERM_2,PLAN_A,F,22,18/06/2019,20,24,767147.6883
335,TERM_2,PLAN_A,F,36,15/06/2013,20,72,141634.104
336,TERM_2,PLAN_A,F,34,08/04/2011,15,30,454137.3375
337,TERM_2,PLAN_B,F,26,04/09/2018,15,29,887649.5099
338,TERM_2,PLAN_A,M,56,30/09/2016,20,49,247068.4088
339,TERM_2,PLAN_A,F,54,11/09/2015,20,23,906042.7982
340,TERM_2,PLAN_A,F,30,16/07/2017,20,95,328338.9763
341,TERM_1,PLAN_A,M,26,29/05/2022,20,87,520504.4934
342,TERM_2,PLAN_A,M,59,07/08/2019,10,9,973352.1684
343,TERM_2,PLAN_A,F,49,12/12/2017,20,25,102556.2212
344,TERM_2,PLAN_B,M,46,26/08/2015,15,91,189094.5032
345,TERM_2,PLAN_A,M,30,25/01/2019,20,21,714335.1621
346,TERM_2,PLAN_A,M,53,17/07/2013,15,31,60831.6582
347,TERM_1,PLAN_B,F,57,07/05/2024,20,21,738872.6222
348,TERM_2,PLAN_B,F,26,20/07/2018,15,98,718218.4061
349,TERM_2,PLAN_A,M,37,23/02/2013,20,91,747535.6165
350,TERM_1,PLAN_B,F,53,19/05/2018,20,5,751883.695
351,TERM_1,PLAN_A,M,52,07/05/2021,10,50,701144.1221
352,TERM_1,PLAN_B,M,46,04/08/2019,10,86,420516.7711
353,TERM_2,PLAN_A,F,22,13/03/2016,10,57,456306.6554
354,TERM_1,PLAN_B,M,30,24/12/2020,20,53,230557.9215
355,TERM_2,PLAN_B,M,23,10/08/2020,20,53,969887.4612
356,TERM_2,PLAN_B,M,58,12/04/2020,10,38,139488.287
357,TERM_1,PLAN_B,F,56,18/01/2018,15,50,919392.3388
358,TERM_1,PLAN_B,F,55,24/01/2019,10,8,529157.0288
359,TERM_2,PLAN_B,M,36,02/11/2010,20,81,402583.6454
360,TERM_2,PLAN_A,F,46,14/04/2024,10,75,534261.9108
361,TERM_2,PLAN_A,F,32,26/07/2019,15,96,350200.8146
362,TERM_1,PLAN_A,F,33,23/11/2014,10,8,257035.505
363,TERM_1,PLAN_B,M,37,21/05/2010,10,71,703232.468
364,TERM_1,PLAN_B,F,34,15/08/2012,15,76,467717.7924
365,TERM_1,PLAN_A,M,45,18/11/2024,10,81,306611.4422
366,TERM_1,PLAN_B,M,32,28/02/2018,10,27,537237.381
367,TERM_2,PLAN_A,F,51,22/07/2012,15,69,400320.9444
368,TERM_2,PLAN_A,M,43,14/01/2016,15,100,456678.5518
369,TERM_1,PLAN_B,M,48,13/01/2021,15,68,728384.8784
370,TERM_1,PLAN_B,F,31,24/02/2024,15,38,54799.44423
371,TERM_2,PLAN_A,F,31,11/04/2011,15,57,506033.9986
372,TERM_1,PLAN_B,M,30,06/05/2019,10,69,976689.6353
373,TERM_1,PLAN_B,F,45,16/10/2010,20,65,483722.7205
374,TERM_2,PLAN_A,M,30,10/03/2022,10,60,384894.3181
375,TERM_2,PLAN_A,F,32,01/12/2019,10,24,452363.083
376,TERM_2,PLAN_A,F,24,23/02/2014,20,40,225507.2201
377,TERM_1,PLAN_B,M,37,11/08/2013,15,34,213109.711
378,TERM_1,PLAN_A,F,56,28/03/2023,10,98,932726.1498
379,TERM_1,PLAN_A,M,56,29/07/2023,20,52,476238.6135
380,TERM_1,PLAN_A,F,20,23/07/2022,15,97,911512.3216
381,TERM_2,PLAN_B,M,46,10/08/2022,15,6,57133.58294
382,TERM_2,PLAN_A,F,55,30/03/2024,10,60,98793.83657
383,TERM_2,PLAN_B,M,20,05/02/2011,15,93,514538.6609
384,TERM_1,PLAN_A,F,28,25/11/2010,15,28,243996.4857
385,TERM_1,PLAN_B,F,26,08/02/2015,20,12,480885.969
386,TERM_2,PLAN_B,F,49,07/09/2012,15,51,438734.7686
387,TERM_2,PLAN_A,F,31,18/04/2012,10,4,463528.9208
