point_id,sum_assured,age_at_entry,term_y,smoker_status,shape,annual_premium,init_pols_if,extra_mortality,sex
145,668932.0383,21,20,S,level,1,1,0,M
146,488889.1038,35,10,N,decreasing,1,1,0,F
147,507486.5425,58,10,N,level,1,1,0,M
148,833890.968,46,20,S,level,1,1,0,M
149,463186.2394,27,15,N,decreasing,1,1,0,F
150,180462.9707,56,20,N,level,1,1,0,F
151,506266.7951,35,20,S,level,1,1,0,F
152,471467.7103,57,10,N,decreasing,1,1,0,F
153,666190.1533,57,15,N,level,1,1,0,M
154,84043.25198,46,10,S,level,1,1,0,M
155,314667.4018,43,20,N,decreasing,1,1,0,F
156,243867.0282,33,15,N,level,1,1,0,F
157,59279.33576,33,10,S,level,1,1,0,F
158,416907.0034,42,10,N,decreasing,1,1,0,M
159,436091.2108,31,15,N,level,1,1,0,M
160,901900.8322,20,20,S,level,1,1,0,M
161,576410.5482,40,15,N,decreasing,1,1,0,F
162,801821.0713,25,10,N,level,1,1,0,M
163,112094.331,40,20,S,level,1,1,0,M
164,762958.0521,21,20,N,decreasing,1,1,0,F
165,257663.8326,40,10,N,level,1,1,0,M
166,783915.4304,35,20,S,level,1,1,0,M
167,148381.4767,50,10,N,decreasing,1,1,0,M
168,100518.8277,26,20,N,level,1,1,0,F
169,849960.0526,20,20,S,level,1,1,0,M
170,491837.2373,54,10,N,decreasing,1,1,0,F
171,437867.9486,21,15,N,level,1,1,0,F
172,274282.1447,47,15,S,level,1,1,0,M
173,559556.2882,28,20,N,decreasing,1,1,0,M
174,516106.5978,30,10,N,level,1,1,0,F
175,184654.0532,27,10,S,level,1,1,0,F
176,758974.1406,58,15,N,decreasing,1,1,0,F
177,877903.8896,34,20,N,level,1,1,0,F
178,342050.9411,24,10,S,level,1,1,0,M
179,578229.1921,29,20,N,decreasing,1,1,0,M
180,698384.6854,33,10,N,level,1,1,0,M
181,759008.0193,55,20,S,level,1,1,0,M
182,105968.5386,28,10,N,decreasing,1,1,0,M
183,679947.3771,43,15,N,level,1,1,0,M
184,404230.0775,45,15,S,level,1,1,0,F
185,954418.1898,51,15,N,decreasing,1,1,0,M
186,906251.5992,33,10,N,level,1,1,0,F
187,215439.0938,39,10,S,level,1,1,0,M
188,83309.92881,22,15,N,decreasing,1,1,0,F
189,570489.049,49,15,N,level,1,1,0,F
190,50909.40114,40,10,S,level,1,1,0,M
191,622025.5299,42,20,N,decreasing,1,1,0,M
192,881620.6556,22,10,N,level,1,1,0,F
193,703182.2793,49,15,S,level,1,1,0,F
194,195626.8501,42,20,N,decreasing,1,1,0,F
195,889887.1106,47,20,N,level,1,1,0,F
196,943815.9126,32,10,S,level,1,1,0,M
197,141205.1602,54,15,N,decreasing,1,1,0,F
198,878420.5746,47,15,N,level,1,1,0,M
199,796672.9185,30,15,S,level,1,1,0,F
200,12616.19224,23,20,N,decreasing,1,1,0,F
201,378680.0369,20,15,N,level,1,1,0,F
202,379622.8503,26,15,S,level,1,1,0,M
203,581870.9958,41,10,N,decreasing,1,1,0,M
204,870992.2198,23,15,N,level,1,1,0,M
205,734412.2748,57,15,S,level,1,1,0,F
206,69798.55695,54,10,N,decreasing,1,1,0,F
207,743452.7577,33,10,N,level,1,1,0,F
208,143055.1538,25,20,S,level,1,1,0,M
209,372021.1184,29,10,N,decreasing,1,1,0,F
210,510865.1988,43,20,N,level,1,1,0,M
211,211930.183,23,10,S,level,1,1,0,M
212,300609.0637,26,10,N,decreasing,1,1,0,F
213,752561.1028,50,15,N,level,1,1,0,F
214,716114.1514,31,15,S,level,1,1,0,M
215,707105.5899,35,10,N,decreasing,1,1,0,M
216,235909.6013,52,20,N,level,1,1,0,F
217,46580.58812,38,20,S,level,1,1,0,M
218,159971.4413,27,10,N,decreasing,1,1,0,F
219,219729.1366,47,10,N,level,1,1,0,M
220,734525.1939,46,20,S,level,1,1,0,F
221,262581.5481,44,10,N,decreasing,1,1,0,M
222,867801.3948,34,15,N,level,1,1,0,F
223,578510.9596,23,10,S,level,1,1,0,F
224,756679.304,29,15,N,decreasing,1,1,0,F
225,206120.8047,49,10,N,level,1,1,0,F
226,742335.7733,52,10,S,level,1,1,0,F
227,480763.3281,52,15,N,decreasing,1,1,0,M
228,784158.4627,41,15,N,level,1,1,0,F
229,183567.7844,34,10,S,level,1,1,0,F
230,794827.8616,54,10,N,decreasing,1,1,0,M
231,55099.03356,29,15,N,level,1,1,0,M
232,871223.7311,43,10,S,level,1,1,0,M
233,889529.3562,47,10,N,decreasing,1,1,0,F
234,274219.8654,40,20,N,level,1,1,0,M
235,747538.1022,26,20,S,level,1,1,0,F
236,250480.3204,42,15,N,decreasing,1,1,0,M
237,832377.2841,28,20,N,level,1,1,0,F
238,356301.2062,28,15,S,level,1,1,0,F
239,28448.6776,27,10,N,decreasing,1,1,0,F
240,775766.3595,41,15,N,level,1,1,0,M
241,900594.9313,48,15,S,level,1,1,0,F
242,710612.5224,50,10,N,decreasing,1,1,0,M
243,459107.0495,56,15,N,level,1,1,0,F
244,565004.1559,48,15,S,level,1,1,0,F
245,198701.9853,27,20,N,decreasing,1,1,0,F
246,150328.687,46,15,N,level,1,1,0,F
247,162062.7046,23,20,S,level,1,1,0,F
248,136791.6901,28,10,N,decreasing,1,1,0,M
249,681923.1968,52,10,N,level,1,1,0,M
250,774173.6326,49,15,S,level,1,1,0,M
251,922141.3052,27,20,N,decreasing,1,1,0,F
252,875873.4148,46,10,N,level,1,1,0,M
253,604145.7068,39,15,S,level,1,1,0,F
254,991341.9845,54,10,N,decreasing,1,1,0,F
255,637667.9932,36,15,N,level,1,1,0,M
256,863971.9245,36,15,S,level,1,1,0,M
257,676414.5179,50,10,N,decreasing,1,1,0,M
258,242076.437,40,10,N,level,1,1,0,M
259,486500.8904,30,20,S,level,1,1,0,F
260,417462.8427,28,20,N,decreasing,1,1,0,F
261,159377.6902,48,20,N,level,1,1,0,F
262,463574.5244,35,20,S,level,1,1,0,F
263,744927.0551,57,15,N,decreasing,1,1,0,M
264,315587.0426,54,20,N,level,1,1,0,M
265,231455.5979,40,20,S,level,1,1,0,M
266,45764.2224,55,15,N,decreasing,1,1,0,F
267,210827.5456,49,10,N,level,1,1,0,M
268,472508.6429,40,10,S,level,1,1,0,F
269,853760.4703,40,20,N,decreasing,1,1,0,M
270,797370.7055,50,10,N,level,1,1,0,F
271,819021.9104,25,15,S,level,1,1,0,F
272,790405.0763,47,15,N,decreasing,1,1,0,M
273,52958.9106,48,10,N,level,1,1,0,F
274,740752.2371,41,15,S,level,1,1,0,F
275,774545.3422,28,10,N,decreasing,1,1,0,F
276,378437.373,28,15,N,level,1,1,0,M
277,645402.8431,27,20,S,level,1,1,0,M
278,238641.905,22,10,N,decreasing,1,1,0,M
279,44732.44709,32,20,N,level,1,1,0,M
280,945210.2518,51,10,S,level,1,1,0,M
281,476877.4667,56,20,N,decreasing,1,1,0,M
282,526781.1975,58,20,N,level,1,1,0,F
283,155466.2932,58,10,S,level,1,1,0,F
284,744698.0373,26,15,N,decreasing,1,1,0,F
285,305781.7149,22,10,N,level,1,1,0,M
286,74702.25261,34,15,S,level,1,1,0,F
287,199774.9041,21,20,N,decreasing,1,1,0,M
288,899877.9375,45,20,N,level,1,1,0,M
289,189295.7456,29,10,S,level,1,1,0,F
290,984933.2126,50,20,N,decreasing,1,1,0,F
291,876486.7394,33,20,N,level,1,1,0,M
292,171632.8537,43,15,S,level,1,1,0,F
293,752146.4478,23,15,N,decreasing,1,1,0,M
294,669155.2644,23,10,N,level,1,1,0,M
295,208041.3349,38,10,S,level,1,1,0,M
296,159696.3805,22,20,N,decreasing,1,1,0,M
297,833885.0663,46,20,N,level,1,1,0,F
298,731286.2688,32,10,S,level,1,1,0,M
299,842285.7374,59,10,N,decreasing,1,1,0,M
300,582369.128,35,15,N,level,1,1,0,M
301,229025.2064,23,15,S,level,1,1,0,M
302,293288.3016,58,10,N,decreasing,1,1,0,F
303,723798.3931,36,15,N,level,1,1,0,F
304,40126.34919,38,10,S,level,1,1,0,M
305,564470.4325,55,20,N,decreasing,1,1,0,M
306,901024.4748,56,15,N,level,1,1,0,M
307,183330.158,34,10,S,level,1,1,0,M
308,980747.7785,57,15,N,decreasing,1,1,0,F
309,797812.4063,25,15,N,level,1,1,0,F
310,880246.0676,27,20,S,level,1,1,0,F
311,16080.62801,29,20,N,decreasing,1,1,0,F
312,425073.7062,48,15,N,level,1,1,0,M
313,579818.9386,26,10,S,level,1,1,0,M
314,632898.738,32,20,N,decreasing,1,1,0,M
315,260613.328,33,10,N,level,1,1,0,M
316,326239.4613,23,20,S,level,1,1,0,F
317,62418.86556,41,15,N,decreasing,1,1,0,F
318,295950.7664,34,15,N,level,1,1,0,M
319,96354.63578,48,20,S,level,1,1,0,M
320,934443.3324,22,20,N,decreasing,1,1,0,F
321,945087.9117,46,20,N,level,1,1,0,M
322,576022.5379,50,10,S,level,1,1,0,F
323,602523.4255,36,10,N,decreasing,1,1,0,M
324,813328.4819,28,10,N,level,1,1,0,F
325,781857.9599,29,15,S,level,1,1,0,F
326,309516.7547,29,15,N,decreasing,1,1,0,F
327,542647.1872,53,10,N,level,1,1,0,F
328,76866.18862,50,20,S,level,1,1,0,F
329,386971.6312,21,15,N,decreasing,1,1,0,M
330,66581.56088,51,10,N,level,1,1,0,F
331,947098.8172,53,15,S,level,1,1,0,M
332,814807.8959,35,20,N,decreasing,1,1,0,M
333,756765.1289,35,20,N,level,1,1,0,M
334,767147.6883,22,20,S,level,1,1,0,F
335,141634.104,36,20,N,decreasing,1,1,0,F
336,454137.3375,34,15,N,level,1,1,0,F
337,887649.5099,26,15,S,level,1,1,0,F
338,247068.4088,56,20,N,decreasing,1,1,0,M
339,906042.7982,54,20,N,level,1,1,0,F
340,328338.9763,30,20,S,level,1,1,0,F
341,520504.4934,26,20,N,decreasing,1,1,0,M
342,973352.1684,59,10,N,level,1,1,0,M
343,102556.2212,49,20,S,level,1,1,0,F
344,189094.5032,46,15,N,decreasing,1,1,0,M
345,714335.1621,30,20,N,level,1,1,0,M
346,60831.6582,53,15,S,level,1,1,0,M
347,738872.6222,57,20,N,decreasing,1,1,0,F
348,718218.4061,26,15,N,level,1,1,0,F
349,747535.6165,37,20,S,level,1,1,0,M
350,751883.695,53,20,N,decreasing,1,1,0,F
351,701144.1221,52,10,N,level,1,1,0,M
352,420516.7711,46,10,S,level,1,1,0,M
353,456306.6554,22,10,N,decreasing,1,1,0,F
354,230557.9215,30,20,N,level,1,1,0,M
355,969887.4612,23,20,S,level,1,1,0,M
356,139488.287,58,10,N,decreasing,1,1,0,M
357,919392.3388,56,15,N,level,1,1,0,F
358,529157.0288,55,10,S,level,1,1,0,F
359,402583.6454,36,20,N,decreasing,1,1,0,M
360,534261.9108,46,10,N,level,1,1,0,F
361,350200.8146,32,15,S,level,1,1,0,F
362,257035.505,33,10,N,decreasing,1,1,0,F
363,703232.468,37,10,N,level,1,1,0,M
364,467717.7924,34,15,S,level,1,1,0,F
365,306611.4422,45,10,N,decreasing,1,1,0,M
366,537237.381,32,10,N,level,1,1,0,M
367,400320.9444,51,15,S,level,1,1,0,F
368,456678.5518,43,15,N,decreasing,1,1,0,M
369,728384.8784,48,15,N,level,1,1,0,M
370,54799.44423,31,15,S,level,1,1,0,F
371,506033.9986,31,15,N,decreasing,1,1,0,F
372,976689.6353,30,10,N,level,1,1,0,M
373,483722.7205,45,20,S,level,1,1,0,F
374,384894.3181,30,10,N,decreasing,1,1,0,M
375,452363.083,32,10,N,level,1,1,0,F
376,225507.2201,24,20,S,level,1,1,0,F
377,213109.711,37,15,N,decreasing,1,1,0,M
378,932726.1498,56,10,N,level,1,1,0,F
379,476238.6135,56,20,S,level,1,1,0,M
380,911512.3216,20,15,N,decreasing,1,1,0,F
381,57133.58294,46,15,N,level,1,1,0,M
382,98793.83657,55,10,S,level,1,1,0,F
383,514538.6609,20,15,N,decreasing,1,1,0,M
384,243996.4857,28,15,N,level,1,1,0,F
385,480885.969,26,20,S,level,1,1,0,F
386,438734.7686,49,15,N,decreasing,1,1,0,F
387,463528.9208,31,10,N,level,1,1,0,F
388,631930.7573,37,15,S,level,1,1,0,F
389,447094.7601,23,15,N,decreasing,1,1,0,F
390,196014.6757,51,10,N,level,1,1,0,M
391,508537.3268,48,10,S,level,1,1,0,M
392,578657.9592,34,15,N,decreasing,1,1,0,F
393,683472.1514,23,10,N,level,1,1,0,M
394,393082.1854,48,15,S,level,1,1,0,M
395,235327.8256,29,20,N,decreasing,1,1,0,M
396,524904.5868,59,20,N,level,1,1,0,M
397,913623.0675,45,15,S,level,1,1,0,M
398,633487.8865,52,10,N,decreasing,1,1,0,M
399,690208.4606,27,20,N,level,1,1,0,M
400,931771.4373,23,15,S,level,1,1,0,M
401,258427.051,50,20,N,decreasing,1,1,0,F
402,219487.9418,46,15,N,level,1,1,0,M
403,645421.7221,24,10,S,level,1,1,0,M
404,997643.6207,50,20,N,decreasing,1,1,0,M
405,819619.3209,38,10,N,level,1,1,0,F
406,311768.1185,54,20,S,level,1,1,0,F
407,956205.4024,29,15,N,decreasing,1,1,0,M
408,987393.1224,47,20,N,level,1,1,0,M
409,607009.6844,32,15,S,level,1,1,0,M
410,265786.4668,24,20,N,decreasing,1,1,0,F
411,628799.3869,50,15,N,level,1,1,0,F
412,377229.0629,57,10,S,level,1,1,0,F
413,33607.12661,53,10,N,decreasing,1,1,0,M
414,761291.877,20,10,N,level,1,1,0,F
415,852292.1119,58,15,S,level,1,1,0,M
416,345307.5715,41,20,N,decreasing,1,1,0,F
417,100116.684,40,10,N,level,1,1,0,M
418,904853.3489,25,20,S,level,1,1,0,M
419,691188.1984,43,20,N,decreasing,1,1,0,M
420,28881.44476,28,15,N,level,1,1,0,F
421,587016.0552,27,15,S,level,1,1,0,F
422,988368.5342,53,15,N,decreasing,1,1,0,M
423,767050.8521,38,15,N,level,1,1,0,M
424,685041.5949,30,20,S,level,1,1,0,M
425,611396.8949,56,10,N,decreasing,1,1,0,F
426,848472.0845,40,20,N,level,1,1,0,F
427,99704.25009,48,20,S,level,1,1,0,F
428,613082.5467,32,20,N,decreasing,1,1,0,F
429,120060.8074,34,15,N,level,1,1,0,M
430,897674.5438,26,10,S,level,1,1,0,F
431,864690.8309,47,15,N,decreasing,1,1,0,M
432,103902.5717,57,15,N,level,1,1,0,M
433,491772.3989,31,15,S,level,1,1,0,M
434,917842.4729,22,15,N,decreasing,1,1,0,F
435,677360.4093,43,10,N,level,1,1,0,F
436,344218.2188,57,20,S,level,1,1,0,M
437,722141.7337,52,20,N,decreasing,1,1,0,M
438,275174.4257,21,20,N,level,1,1,0,F
439,575148.5129,26,15,S,level,1,1,0,M
440,98393.97533,25,15,N,decreasing,1,1,0,M
441,702568.9564,47,15,N,level,1,1,0,M
442,586913.9933,38,10,S,level,1,1,0,M
443,216507.7121,41,15,N,decreasing,1,1,0,M
444,78999.75282,55,10,N,level,1,1,0,F
445,443695.1953,31,20,S,level,1,1,0,M
446,40182.23656,51,20,N,decreasing,1,1,0,F
447,881165.6115,41,10,N,level,1,1,0,M
448,636078.3208,25,10,S,level,1,1,0,F
449,735017.7557,51,20,N,decreasing,1,1,0,M
450,758283.9725,37,10,N,level,1,1,0,M
451,268029.579,24,10,S,level,1,1,0,F
452,715581.4186,27,15,N,decreasing,1,1,0,M
453,737140.8906,42,15,N,level,1,1,0,M
454,144965.0386,54,15,S,level,1,1,0,M
455,521588.0175,43,20,N,decreasing,1,1,0,M
456,62092.80066,21,20,N,level,1,1,0,M
457,298853.1206,53,20,S,level,1,1,0,M
458,338214.6247,24,15,N,decreasing,1,1,0,F
459,224373.8083,46,15,N,level,1,1,0,M
460,122486.782,37,15,S,level,1,1,0,M
461,33302.53742,39,15,N,decreasing,1,1,0,M
462,67103.07286,56,20,N,level,1,1,0,F
463,930647.7439,32,20,S,level,1,1,0,F
464,181573.6406,31,10,N,decreasing,1,1,0,M
465,726322.3923,47,20,N,level,1,1,0,M
466,44125.98923,29,20,S,level,1,1,0,F
467,387117.9527,33,15,N,decreasing,1,1,0,M
468,876556.2255,45,10,N,level,1,1,0,F
469,232839.5757,22,15,S,level,1,1,0,F
470,90239.17898,53,15,N,decreasing,1,1,0,M
471,241459.541,26,10,N,level,1,1,0,M
472,146833.8755,53,15,S,level,1,1,0,M
473,354986.9795,34,10,N,decreasing,1,1,0,F
474,935759.0471,38,20,N,level,1,1,0,M
475,626524.8239,29,20,S,level,1,1,0,F
476,108729.4694,52,20,N,decreasing,1,1,0,M
477,722679.9703,34,15,N,level,1,1,0,F
478,715689.7161,33,20,S,level,1,1,0,F
479,119132.4966,36,10,N,decreasing,1,1,0,M
480,955746.9341,33,10,N,level,1,1,0,M
481,89371.48553,29,10,S,level,1,1,0,F
482,199701.7545,22,15,N,decreasing,1,1,0,M
483,746123.0805,40,20,N,level,1,1,0,F
484,527078.5714,48,20,S,level,1,1,0,M
485,593582.5113,43,10,N,decreasing,1,1,0,M
486,575951.7536,30,10,N,level,1,1,0,M
487,584573.1764,54,20,S,level,1,1,0,M
488,817103.0049,37,15,N,decreasing,1,1,0,M
489,691542.1567,41,20,N,level,1,1,0,F
490,584934.7543,25,15,S,level,1,1,0,F
491,486417.0301,45,20,N,decreasing,1,1,0,M
492,679300.4345,21,10,N,level,1,1,0,M
493,918256.4525,20,20,S,level,1,1,0,F
494,510831.5951,29,15,N,decreasing,1,1,0,F
495,719230.5964,43,20,N,level,1,1,0,F
496,105112.6822,58,15,S,level,1,1,0,F
497,129041.0377,43,20,N,decreasing,1,1,0,F
498,890776.0506,28,10,N,level,1,1,0,M
499,550087.108,33,15,S,level,1,1,0,M
500,407326.9662,41,20,N,decreasing,1,1,0,M
501,421785.9707,31,15,N,level,1,1,0,M
502,651011.9528,56,15,S,level,1,1,0,M
503,923342.1306,35,10,N,decreasing,1,1,0,M
504,535198.705,22,10,N,level,1,1,0,M
505,197266.8079,27,15,S,level,1,1,0,M
506,674380.7527,31,15,N,decreasing,1,1,0,F
507,166878.8753,23,20,N,level,1,1,0,M
508,366155.4107,32,20,S,level,1,1,0,F
509,828174.2938,38,20,N,decreasing,1,1,0,F
510,361334.9228,40,20,N,level,1,1,0,F
511,759298.9962,33,20,S,level,1,1,0,F
512,324893.3729,54,20,N,decreasing,1,1,0,F
513,454386.0482,50,10,N,level,1,1,0,F
514,903989.3987,20,10,S,level,1,1,0,F
515,484015.8348,48,20,N,decreasing,1,1,0,F
516,729093.9051,57,15,N,level,1,1,0,F
517,624786.0125,20,10,S,level,1,1,0,M
518,898741.9399,37,20,N,decreasing,1,1,0,F
519,805051.0962,21,15,N,level,1,1,0,F
520,609306.4601,28,20,S,level,1,1,0,M
521,18571.52404,46,10,N,decreasing,1,1,0,M
522,323036.688,37,15,N,level,1,1,0,F
523,136250.1104,42,15,S,level,1,1,0,F
524,55904.99363,32,20,N,decreasing,1,1,0,M
525,700083.0322,46,10,N,level,1,1,0,F
526,622161.2509,44,10,S,level,1,1,0,F
527,136288.8831,22,10,N,decreasing,1,1,0,M
528,598862.7404,45,20,N,level,1,1,0,F
529,349290.2765,26,20,S,level,1,1,0,F
530,292617.2436,37,20,N,decreasing,1,1,0,M
531,311742.8239,29,10,N,level,1,1,0,M
532,416985.2976,29,20,S,level,1,1,0,F
533,501132.6874,53,20,N,decreasing,1,1,0,M
534,695135.4915,39,20,N,level,1,1,0,F
535,454499.8578,23,10,S,level,1,1,0,F
536,461968.4307,47,10,N,decreasing,1,1,0,M
537,983353.6084,24,20,N,level,1,1,0,F
538,899917.6097,30,15,S,level,1,1,0,M
539,780386.9744,30,20,N,decreasing,1,1,0,F
540,519034.8204,44,20,N,level,1,1,0,F
541,745129.8574,55,10,S,level,1,1,0,F
542,938861.9286,31,10,N,decreasing,1,1,0,M
543,898433.6245,59,15,N,level,1,1,0,F
544,965721.4482,43,20,S,level,1,1,0,M
545,868653.0829,28,15,N,decreasing,1,1,0,F
546,100603.2157,52,20,N,level,1,1,0,M
547,872448.3251,44,20,S,level,1,1,0,F
548,499974.7429,47,20,N,decreasing,1,1,0,M
549,731654.4933,43,10,N,level,1,1,0,F
550,922235.9551,22,10,S,level,1,1,0,F
551,373193.3025,48,10,N,decreasing,1,1,0,M
552,181405.933,47,15,N,level,1,1,0,F
553,356944.6043,37,15,S,level,1,1,0,F
554,545185.5129,57,10,N,decreasing,1,1,0,M
555,601976.5729,56,15,N,level,1,1,0,M
556,952699.5648,41,15,S,level,1,1,0,F
557,948417.6824,51,20,N,decreasing,1,1,0,M
